,Date,Time,Auction Name,Contract,Auction Price €/tCO2,Minimum Bid €/tCO2,Maximum Bid €/tCO2,Mean €/tCO2,Median €/tCO2,Auction Volume tCO2,Total Amount of Bids,Cover Ratio,Total Number of Bidders,Number of Successful Bidders,Total Revenue €,Country,Certificate,Austria,Luxembourg,Latvia,Malta,Netherlands,Portugal,Romania,Sweden,Slovenia,Lithuania,Italy,Bulgaria,Cyprus,Denmark,Greece,Spain,Finland,France,Hungary,Slovakia,Ireland,Belgium,Czech Republic,Estonia,Croatia,Germany,Poland,Number of bids submitted,Number of successful bids,Average number of bids per bidder,Average bid size,Average volume bid per bidder,Standard deviation of bid volume per bidder,Average volume won per bidder,Standard deviation of volume won per bidder,Iceland,Liechtenstein,Norway,"Innovation
Fund",Austria (volume),Belgium (volume),Bulgaria (volume),Croatia (volume),Cyprus (volume),Czech Republic (volume),Denmark (volume),Estonia (volume),Finland (volume),France (volume),Germany (volume),Greece (volume),Hungary (volume),Iceland (volume),Ireland (volume),Italy (volume),Latvia (volume),Liechtenstein (volume),Lithuania (volume),Luxembourg (volume),Malta (volume),Netherlands (volume),Norway (volume),Poland (volume),Portugal (volume),Romania (volume),Slovakia (volume),Slovenia (volume),Spain (volume),Sweden (volume)
453,2014-02-25 00:00:00,2014-02-25 11:00:32,EU,T3PA,6.85,5.4,7.0,6.73,6.82,4018500,10539000.0,2.62,18.0,13.0,27526725.0,EU,,705550.0,61650.0,137000.0,51375.0,,890500.0,1781000.0,452100.0,222625.0,,4884050.0,842550.0,17125.0,637050.0,1760450.0,4377150.0,849400.0,2774250.0,,780900.0,472650.0,1287800.0,,236325.0,,,,,,,,,,,,,,,,103000.0,188000.0,123000.0,,2500.0,,93000.0,34500.0,124000.0,405000.0,,257000.0,,,69000.0,713000.0,20000.0,,,9000.0,7500.0,,,,130000.0,260000.0,114000.0,32500.0,639000.0,66000.0
454,2014-02-24 00:00:00,2014-02-24 11:00:36,EU,T3PA,7.1,1.59,7.3,5.84,7.06,4018500,13064000.0,3.25,19.0,16.0,28531350.0,EU,,731300.0,63900.0,142000.0,53250.0,,923000.0,1846000.0,468600.0,230750.0,,5062300.0,873300.0,17750.0,660300.0,1824700.0,4536900.0,880400.0,2875500.0,,809400.0,489900.0,1334800.0,,244950.0,,,,,,,,,,,,,,,,103000.0,188000.0,123000.0,,2500.0,,93000.0,34500.0,124000.0,405000.0,,257000.0,,,69000.0,713000.0,20000.0,,,9000.0,7500.0,,,,130000.0,260000.0,114000.0,32500.0,639000.0,66000.0
455,2014-02-21 00:00:00,2014-02-21 11:00:55,DE,T3PA,6.85,1.0,7.5,6.16,6.82,4600000,20859000.0,4.53,21.0,16.0,31510000.0,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,31510000.0,,,,,,,,,,,,,,,,,,,,,,,,4600000.0,,,,,,,,,,,,,,,,,,,
456,2014-02-20 00:00:00,2014-02-20 11:00:41,EU,T3PA,6.92,2.0,7.5,6.46,6.86,4018500,22548000.0,5.61,21.0,14.0,27808020.0,EU,,712760.0,62280.0,138400.0,51900.0,,899600.0,1799200.0,456720.0,224900.0,,4933960.0,851160.0,17300.0,643560.0,1778440.0,4421880.0,858080.0,2802600.0,,788880.0,477480.0,1300960.0,,238740.0,,,,,,,,,,,,,,,,103000.0,188000.0,123000.0,,2500.0,,93000.0,34500.0,124000.0,405000.0,,257000.0,,,69000.0,713000.0,20000.0,,,9000.0,7500.0,,,,130000.0,260000.0,114000.0,32500.0,639000.0,66000.0
457,2014-02-18 00:00:00,2014-02-18 11:00:30,EU,T3PA,6.74,1.0,6.9,6.12,6.72,4018500,19673000.0,4.9,20.0,19.0,27084690.0,EU,,694220.0,60660.0,134800.0,50550.0,,876200.0,1752400.0,444840.0,219050.0,,4805620.0,829020.0,16850.0,626820.0,1732180.0,4306860.0,835760.0,2729700.0,,768360.0,465060.0,1267120.0,,232530.0,,,,,,,,,,,,,,,,103000.0,188000.0,123000.0,,2500.0,,93000.0,34500.0,124000.0,405000.0,,257000.0,,,69000.0,713000.0,20000.0,,,9000.0,7500.0,,,,130000.0,260000.0,114000.0,32500.0,639000.0,66000.0
458,2014-02-17 00:00:00,2014-02-17 11:00:42,EU,T3PA,6.7,1.25,7.8,6.07,6.67,4018500,21368000.0,5.32,21.0,17.0,26923950.0,EU,,690100.0,60300.0,134000.0,50250.0,,871000.0,1742000.0,442200.0,217750.0,,4777100.0,824100.0,16750.0,623100.0,1721900.0,4281300.0,830800.0,2713500.0,,763800.0,462300.0,1259600.0,,231150.0,,,,,,,,,,,,,,,,103000.0,188000.0,123000.0,,2500.0,,93000.0,34500.0,124000.0,405000.0,,257000.0,,,69000.0,713000.0,20000.0,,,9000.0,7500.0,,,,130000.0,260000.0,114000.0,32500.0,639000.0,66000.0
459,2014-02-14 00:00:00,2014-02-14 11:00:35,DE,T3PA,6.31,5.5,7.0,6.26,6.29,4600000,22226000.0,4.83,22.0,15.0,29026000.0,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,29026000.0,,,,,,,,,,,,,,,,,,,,,,,,4600000.0,,,,,,,,,,,,,,,,,,,
460,2014-02-13 00:00:00,2014-02-13 11:00:26,EU,T3PA,6.21,1.0,6.35,5.62,6.2,4018500,24188000.0,6.02,22.0,18.0,24954885.0,EU,,639630.0,55890.0,124200.0,46575.0,,807300.0,1614600.0,409860.0,201825.0,,4427730.0,763830.0,15525.0,577530.0,1595970.0,3968190.0,770040.0,2515050.0,,707940.0,428490.0,1167480.0,,214245.0,,,,,,,,,,,,,,,,103000.0,188000.0,123000.0,,2500.0,,93000.0,34500.0,124000.0,405000.0,,257000.0,,,69000.0,713000.0,20000.0,,,9000.0,7500.0,,,,130000.0,260000.0,114000.0,32500.0,639000.0,66000.0
461,2014-02-11 00:00:00,2014-02-11 11:00:28,EU,T3PA,6.3,1.59,6.55,5.16,6.22,4018500,16022000.0,3.99,18.0,17.0,25316550.0,EU,,648900.0,56700.0,126000.0,47250.0,,819000.0,1638000.0,415800.0,204750.0,,4491900.0,774900.0,15750.0,585900.0,1619100.0,4025700.0,781200.0,2551500.0,,718200.0,434700.0,1184400.0,,217350.0,,,,,,,,,,,,,,,,103000.0,188000.0,123000.0,,2500.0,,93000.0,34500.0,124000.0,405000.0,,257000.0,,,69000.0,713000.0,20000.0,,,9000.0,7500.0,,,,130000.0,260000.0,114000.0,32500.0,639000.0,66000.0
462,2014-02-10 00:00:00,2014-02-10 11:00:40,EU,T3PA,6.34,5.88,6.8,6.33,6.33,4018500,13216000.0,3.29,21.0,17.0,25477290.0,EU,,653020.0,57060.0,126800.0,47550.0,,824200.0,1648400.0,418440.0,206050.0,,4520420.0,779820.0,15850.0,589620.0,1629380.0,4051260.0,786160.0,2567700.0,,722760.0,437460.0,1191920.0,,218730.0,,,,,,,,,,,,,,,,103000.0,188000.0,123000.0,,2500.0,,93000.0,34500.0,124000.0,405000.0,,257000.0,,,69000.0,713000.0,20000.0,,,9000.0,7500.0,,,,130000.0,260000.0,114000.0,32500.0,639000.0,66000.0
463,2014-02-07 00:00:00,2014-02-07 11:01:00,DE,T3PA,6.45,5.62,7.5,6.43,6.49,4600000,14340000.0,3.12,20.0,17.0,29670000.0,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,29670000.0,,,,,,,,,,,,,,,,,,,,,,,,4600000.0,,,,,,,,,,,,,,,,,,,
464,2014-02-06 00:00:00,2014-02-06 11:00:29,EU,T3PA,6.01,5.2,6.05,5.83,5.9,4018500,16779000.0,4.18,20.0,6.0,24151185.0,EU,,619030.0,54090.0,120200.0,45075.0,,781300.0,1562600.0,396660.0,195325.0,,4285130.0,739230.0,15025.0,558930.0,1544570.0,3840390.0,745240.0,2434050.0,,685140.0,414690.0,1129880.0,,207345.0,,,,,,,,,,,,,,,,103000.0,188000.0,123000.0,,2500.0,,93000.0,34500.0,124000.0,405000.0,,257000.0,,,69000.0,713000.0,20000.0,,,9000.0,7500.0,,,,130000.0,260000.0,114000.0,32500.0,639000.0,66000.0
465,2014-02-05 00:00:00,2014-02-05 11:00:46,PL,T3PA,5.97,5.2,6.1,5.92,5.95,4445000,10418000.0,2.34,18.0,13.0,26536650.0,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,26536650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4445000.0,,,,,,
466,2014-02-04 00:00:00,2014-02-04 11:00:34,EU,T3PA,5.93,5.75,6.06,5.94,5.95,4018500,9638000.0,2.4,16.0,14.0,23829705.0,EU,,610790.0,53370.0,118600.0,44475.0,,770900.0,1541800.0,391380.0,192725.0,,4228090.0,729390.0,14825.0,551490.0,1524010.0,3789270.0,735320.0,2401650.0,,676020.0,409170.0,1114840.0,,204585.0,,,,,,,,,,,,,,,,103000.0,188000.0,123000.0,,2500.0,,93000.0,34500.0,124000.0,405000.0,,257000.0,,,69000.0,713000.0,20000.0,,,9000.0,7500.0,,,,130000.0,260000.0,114000.0,32500.0,639000.0,66000.0
467,2014-02-03 00:00:00,2014-02-03 11:00:37,EU,T3PA,5.48,1.25,5.6,5.07,5.42,4018500,15168000.0,3.77,17.0,8.0,22021380.0,EU,,564440.0,49320.0,109600.0,41100.0,,712400.0,1424800.0,361680.0,178100.0,,3907240.0,674040.0,13700.0,509640.0,1408360.0,3501720.0,679520.0,2219400.0,,624720.0,378120.0,1030240.0,,189060.0,,,,,,,,,,,,,,,,102999.99999999999,187999.99999999997,122999.99999999999,,2500.0,,93000.0,34500.0,123999.99999999999,404999.99999999994,,256999.99999999997,,,69000.0,713000.0,20000.0,,,9000.0,7499.999999999999,,,,129999.99999999999,259999.99999999997,113999.99999999999,32499.999999999996,639000.0,66000.0
